,Prec,ETo,T,Wilzsch,BachOst,KleineBockau
2013-08-29,0.0,3.2326151216142742,12.108333333333334,0.7561585569974203,0.6604048154517794,0.24762804698155885
2013-08-30,0.0,3.140969464233122,13.570833333333333,0.7561585569974203,0.6604048154517794,0.2358912087019356
2013-08-31,2.1,2.9036914972763936,14.179166666666667,0.7561585569974203,0.6604048154517794,0.2183821548749567
2013-09-01,7.1000000000000005,1.7903074579813947,8.654166666666667,0.846740050804403,0.6604048154517794,0.3188187053989456
2013-09-02,6.9,1.5500329291159267,9.445833333333333,0.8014493039009116,0.6604048154517794,0.2610965499253888
2013-09-03,10.8,1.4072521052788336,12.308333333333332,1.1145462064076561,0.8532213255721657,0.3315175796031281
2013-09-04,0.0,2.6139964131516984,14.529166666666667,1.0475946675068428,0.7743418441592803,0.35364440586799156
2013-09-05,0.0,3.6253522774344296,15.829166666666666,0.8723391686194198,0.6604048154517794,0.2920741066961976
2013-09-06,0.0,3.7797762227221305,15.525,0.7561585569974203,0.6604048154517794,0.24685841824191143
2013-09-07,0.0,3.02672656479475,16.983333333333334,0.7561585569974203,0.6604048154517794,0.24012416676999646
2013-09-08,0.30000000000000004,2.0153489268956615,14.879166666666668,0.7561585569974203,0.6604048154517794,0.22165307701845827
2013-09-09,25.7,1.2715947089298751,8.683333333333334,1.8234448535927377,1.495435904220135,0.8050316616712061
2013-09-10,3.3000000000000003,1.0123652073222416,7.608333333333333,1.3587224071047397,0.9671583542796666,0.5033371957294156
2013-09-11,4.9,1.5783031406610637,6.791666666666667,1.1874052340350116,0.6604048154517794,0.4046323098696334
2013-09-12,6.800000000000001,1.3983300099727825,7.3125,2.193647480456058,1.1482338933721392,0.41540711222469734
2013-09-13,2.9000000000000004,1.998095588617005,8.883333333333333,1.5635153496248746,0.9058076465140892,0.48082555509472846
2013-09-14,0.7999999999999999,1.2086861414039838,10.979166666666666,1.2838942165685365,0.6604048154517794,0.44619226181059435
2013-09-15,3.4,1.327847702043864,10.549999999999999,1.2760175649331469,0.6604048154517794,0.4063639745338401
2013-09-16,13.2,1.7428460335921714,7.979166666666667,1.4020439910993836,0.6969175816906998,0.4071336032734875
2013-09-17,0.0,0.0,4.7625,4.349880865644015,2.001455218944305,0.7419221050201172
2013-09-18,16.8,1.4052303446237522,5.95,4.334127562373235,2.362514882921021,0.6385994467224505
2013-09-19,2.4,1.3464217301539456,5.779166666666666,3.4873875115688318,2.4140097896547164,0.7292232308159348
2013-09-20,10.1,1.3654306162203436,7.391666666666667,2.0459602622924993,1.4891520042333641,0.6157029917179396
2013-09-21,8.2,1.095249555932368,7.2375,5.228127522989976,3.8758764386823654,1.0628572894530932
2013-09-22,0.4,1.4381839753244448,8.245833333333334,2.3098280920780576,1.3740243418441593,0.7392284044313512
2013-09-23,0.2,1.3177589690119793,10.070833333333333,1.622590236890298,1.0723309961635137,0.5985787522607844
2013-09-24,0.0,1.3451505825893209,10.095833333333333,1.372506547466672,0.7392842968646646,0.5314286447265466
2013-09-25,0.0,1.1398612619848978,10.308333333333334,1.2760175649331469,0.6604048154517794,0.4823648125740233
2013-09-26,1.3,1.3658659706605365,8.375,1.2760175649331469,0.6604048154517794,0.47601537547193207
2013-09-27,0.0,1.8096305294748236,4.904166666666667,1.1165153693165035,0.6604048154517794,0.44330615403691653
2013-09-28,0.0,2.104174660308258,5.416666666666667,0.9924581060591144,0.6604048154517794,0.41252100445101947
2013-09-29,0.0,2.7917646746297438,5.895833333333333,0.9924581060591144,0.6604048154517794,0.4063639745338401
2013-09-30,0.0,2.7690334711832456,5.8,0.9924581060591144,0.6604048154517794,0.3878928847823019
2013-10-01,0.0,1.8122753195696497,3.795833333333333,0.9924581060591144,0.6896414869691758,0.36249513637393693
2013-10-02,0.0,2.213879693731595,2.8333333333333335,0.9924581060591144,0.7842307183489878,0.36441920822305546
2013-10-03,0.0,3.2265061642298956,3.2541666666666664,0.9924581060591144,0.7842307183489878,0.351720334018873
2013-10-04,0.0,2.747492136280035,4.841666666666667,0.9904889431502669,0.7842307183489878,0.35095070527922556
2013-10-05,0.0,2.348482098239861,7.425,0.907784100978674,0.6941394364333906,0.33882905262977864
2013-10-06,0.0,1.3932528281079664,8.333333333333334,0.8585550282574876,0.6866318296070908,0.34998866935466627
2013-10-07,0.0,1.3865198635083125,8.929166666666667,0.7876651635389795,0.6340785818229925,0.35095070527922556
2013-10-08,0.0,1.1112887919293963,8.404166666666667,0.7561585569974203,0.5364796930810953,0.35095070527922556
2013-10-09,0.0,1.0385959673577667,7.7250000000000005,0.7640352086328102,0.5890329408651938,0.35095070527922556
2013-10-10,18.0,0.82155175367747,5.458333333333333,1.2386034696650454,0.8479296203201482,0.44330615403691653
2013-10-11,15.3,0.6478139526926642,3.2874999999999996,4.737805958686962,2.943511046434714,0.9941679244395607
2013-10-12,0.1,0.6145243847628493,3.3125,2.9754051552684952,2.1510781849450984,0.8044544401164705
2013-10-13,0.1,0.9665989236875017,3.3208333333333333,1.6127444223460607,1.0742161661595448,0.5622137943124437
2013-10-14,0.0,1.1792512852595065,6.558333333333334,1.2779867278419943,0.7842307183489878,0.4823648125740233
2013-10-15,3.7,0.7371397029316877,5.916666666666667,1.2760175649331469,0.7842307183489878,0.46774186652072225
2013-10-16,0.8,0.7698976621895598,4.279166666666667,1.2760175649331469,0.7842307183489878,0.44330615403691653
2013-10-17,7.4,0.5889656865332247,6.145833333333333,1.7348325226946024,0.8476650350575472,0.48371166286840633
2013-10-18,0.30000000000000004,0.0,4.8999999999999995,2.2448457160860915,1.173898663844424,0.4671646449659867
