              i           c_Id    mStart      mEnd            aDD            aDA            TDM
            316         133004       133       133        1.00000        0.00709        1.14205
            317         134001       134       134        1.00000        0.00827        0.81087
            318         134002       134       134        1.00000        0.00433        0.49204
            319         134003       134       134        1.00000        0.00669        0.44503
            320         134004       134       134        1.00000        0.00984        0.53243
            321         134005       134       134        1.00000        0.01496        2.84478
            322         135001       135       135        1.00000        0.02087        2.45127
            323         136001       136       136        1.00000        0.00433        0.33541
            324         139001       137       139        1.76017        0.10787       85.89923
            325         139002       139       139        1.00000        0.00984        1.62416
            326         139003       139       139        1.00000        0.00512        0.61573
            327         140001       140       140        1.00000        0.00512        0.67479
            328         140002       140       140        1.00000        0.00472        0.79357
            329         141001       141       141        1.00000        0.05433        7.45911
            330         143001       143       143        1.00000        0.00551        0.56825
            331         144001       144       144        1.00000        0.00630        0.66673
            332         145001       145       145        1.00000        0.00787        0.81135
            333         145002       145       145        1.00000        0.00669        0.47799
            334         145003       142       145        2.62025        0.08150       56.33874
            335         146001       146       146        1.00000        0.00512        0.47189
            336         146002       146       146        1.00000        0.01496        1.13781
            337         146003       146       146        1.00000        0.00591        0.45179
            338         148001       148       148        1.00000        0.01496        2.72213
            339         148002       148       148        1.00000        0.00787        0.79249
            340         148003       148       148        1.00000        0.01063        1.09809
            341         148004       148       148        1.00000        0.01102        1.05224
            342         149001       149       149        1.00000        0.00433        0.90686
            343         149002       149       149        1.00000        0.11220       27.73848
            344         149003       149       149        1.00000        0.00669        0.35688
            345         149004       149       149        1.00000        0.00551        0.81705
            346         150001       150       150        1.00000        0.00512        0.68409
            347         150002       150       150        1.00000        0.01260        1.60849
            348         150003       150       150        1.00000        0.00827        1.30349
            349         150004       150       150        1.00000        0.00433        0.33579
            350         150005       150       150        1.00000        0.00945        0.62003
            351         150006       150       150        1.00000        0.00866        0.77149
            352         151001       151       151        1.00000        0.00906        0.81913
            353         151002       151       151        1.00000        0.00827        0.62925
            354         152001       152       152        1.00000        0.00433        0.76749
            355         153001       153       153        1.00000        0.00551        1.07166
            356         153002       153       153        1.00000        0.02047        3.48093
            357         153003       153       153        1.00000        0.00591        0.55576
            358         153005       153       153        1.00000        0.00630        0.44518
            359         153006       153       153        1.00000        0.01142        1.45846
            360         154001       154       154        1.00000        0.00748        1.04035
            361         154002       154       154        1.00000        0.00512        0.28422
            362         154003       154       154        1.00000        0.00866        0.75900
            363         154004       152       154        1.89697        0.08215       41.79744
            364         155002       155       155        1.00000        0.00630        0.50779
            365         156002       156       156        1.00000        0.00433        0.59559
            366         156003       156       156        1.00000        0.00512        1.03424
            367         157002       157       157        1.00000        0.00512        0.69933
            368         157003       157       157        1.00000        0.00472        0.66835
            369         157004       157       157        1.00000        0.01024        1.83910
            370         158003       158       158        1.00000        0.01063        4.16574
            371         158005       158       158        1.00000        0.00591        0.35321
            372         159001       155       159        4.11250        0.05181       47.00558
            373         159002       158       159        1.93421        0.02894       25.40538
            374         159004       159       159        1.00000        0.01142        5.00365
            375         159005       159       159        1.00000        0.00787        2.21130
            376         160001       160       160        1.00000        0.00827        0.84230
            377         160002       160       160        1.00000        0.00748        2.89728
            378         160003       160       160        1.00000        0.01535        3.74735
            379         160004       160       160        1.00000        0.00591        0.49517
            380         161001       161       161        1.00000        0.00630        1.24871
            381         161002       161       161        1.00000        0.00945        1.08538
            382         161003       161       161        1.00000        0.00748        0.78122
            383         161005       161       161        1.00000        0.00472        0.57457
            384         162001       162       162        1.00000        0.01102        1.47353
            385         162002       162       162        1.00000        0.00591        0.48391
            386         162003       162       162        1.00000        0.01102        2.29042
            387         162004       162       162        1.00000        0.01772        2.76358
            388         162005       162       162        1.00000        0.00472        0.70732
            389         162006       162       162        1.00000        0.01181        1.29940
            390         162007       162       162        1.00000        0.01220        1.40259
            391         162008       162       162        1.00000        0.00827        0.44373
            392         162009       162       162        1.00000        0.03031        3.55987
            393         162010       162       162        1.00000        0.02244        3.50002
            394         162011       162       162        1.00000        0.01654        2.32245
            395         162012       162       162        1.00000        0.00433        0.42826
            396         163001       163       163        1.00000        0.05472        6.44688
            397         163002       163       163        1.00000        0.01181        1.42849
            398         164001       164       164        1.00000        0.03780        3.91899
            399         164002       164       164        1.00000        0.02441        3.39669
            400         164003       164       164        1.00000        0.03386        4.25696
            401         165001       165       165        1.00000        0.00787        1.36586
            402         165002       165       165        1.00000        0.02008        2.72994
            403         165003       165       165        1.00000        0.01260        1.48272
            404         165004       165       165        1.00000        0.00787        0.44291
            405         165005       158       165        3.00363        0.12210      228.07473
            406         166001       166       166        1.00000        0.00630        0.33786
            407         166002       166       166        1.00000        0.00945        1.15969
            408         166003       166       166        1.00000        0.00551        0.89265
            409         166004       166       166        1.00000        0.01102        1.49448
            410         166005       166       166        1.00000        0.00984        1.05166
            411         168001       168       168        1.00000        0.00630        1.15641
            412         169001       169       169        1.00000        0.00709        0.95562
            413         169002       169       169        1.00000        0.00551        0.52976
            414         169003       169       169        1.00000        0.00827        1.66809
            415         170001       170       170        1.00000        0.00472        0.57811
            416         170002       170       170        1.00000        0.01024        1.40498
            417         170003       170       170        1.00000        0.00630        1.43564
            418         171001       171       171        1.00000        0.00827        0.74627
            419         171002       171       171        1.00000        0.00827        1.07298
            420         171003       171       171        1.00000        0.01693        1.22240
            421         171004       171       171        1.00000        0.00748        1.74560
            422         172001       172       172        1.00000        0.00472        0.78044
            423         173001       173       173        1.00000        0.01142        1.88812
            424         174002       174       174        1.00000        0.00984        1.07201
            425         175001       175       175        1.00000        0.01969        2.40276
            426         175002       175       175        1.00000        0.00906        1.47736
            427         176001       176       176        1.00000        0.02244        2.18323
            428         176002       176       176        1.00000        0.03307        7.57275
            429         176004       176       176        1.00000        0.01339        2.87584
            430         177001       177       177        1.00000        0.00945        1.03648
