,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1936-04-24,5.3,1.6,10.9,4.1,,,70.0,,,6.1,1000.8
1936-04-25,9.1,2.4,13.7,3.7,,,62.0,,,7.1,1004.8
1936-04-26,10.3,6.5,15.4,0.3,,,90.0,,,11.5,1004.4
1936-04-27,12.9,3.8,19.7,0.0,,,60.0,,,8.4,1002.0
1936-04-28,13.2,4.8,21.1,0.1,,,67.0,,,9.6,1004.8
1936-04-29,12.4,5.0,19.4,0.0,,,79.0,,,11.5,1003.7
1936-04-30,10.8,8.8,12.5,2.3,,,77.0,,,9.9,1003.6
1936-05-01,9.5,7.5,11.0,3.2,,,87.0,,,10.4,1005.9
1936-05-02,10.2,8.5,10.5,2.5,,,95.0,,,11.7,1006.5
1936-05-03,10.4,9.0,10.8,0.5,,,88.0,,,11.1,1006.1
1936-05-04,13.6,8.0,18.5,0.0,,,80.0,,,12.1,1000.8
1936-05-05,15.1,6.4,22.7,0.0,,,70.0,,,11.5,996.2
1936-05-06,16.0,9.3,22.8,0.0,,,75.0,,,13.5,995.5
1936-05-07,15.2,9.1,22.5,3.5,,,77.0,,,13.5,995.0
1936-05-08,17.2,9.6,22.5,0.0,,,68.0,,,13.5,995.1
1936-05-09,17.7,12.7,24.1,0.0,,,70.0,,,14.4,995.1
1936-05-10,16.0,10.0,22.1,20.4,,,78.0,,,14.4,995.8
1936-05-11,15.4,11.8,18.5,0.0,,,86.0,,,14.9,998.0
1936-05-12,14.7,12.3,16.5,10.3,,,79.0,,,13.1,998.5
1936-05-13,13.2,11.3,15.4,4.9,,,89.0,,,13.6,1000.6
1936-05-14,13.8,7.5,18.0,0.0,,,80.0,,,12.5,1004.3
1936-05-15,13.6,6.7,20.2,0.0,,,70.0,,,10.3,1004.1
1936-05-16,12.2,6.0,18.8,0.0,,,75.0,,,10.8,1004.3
1936-05-17,13.0,4.5,18.0,0.0,,,82.0,,,12.4,1004.5
1936-05-18,14.1,8.0,17.0,0.1,,,77.0,,,12.4,1004.7
1936-05-19,14.9,6.7,20.7,0.0,,,61.0,,,10.8,1002.1
1936-05-20,11.9,3.8,20.0,0.0,,,65.0,,,8.8,994.6
1936-05-21,9.6,6.0,14.2,6.8,,,89.0,,,10.8,989.7
1936-05-22,9.3,6.2,12.1,7.0,,,84.0,,,9.9,991.8
1936-05-23,10.4,7.7,11.5,12.5,,,92.0,,,11.5,990.4
1936-05-24,12.5,10.5,14.5,0.1,,,90.0,,,13.2,995.3
1936-05-25,14.5,11.2,18.2,0.0,,,79.0,,,13.3,1001.2
1936-05-26,17.2,12.4,24.1,1.4,,,80.0,,,15.7,1000.7
1936-05-27,17.3,9.8,23.5,0.1,,,79.0,,,15.2,994.9
1936-05-28,11.8,9.4,17.6,1.0,,,73.0,,,10.1,996.6
1936-05-29,12.6,7.0,20.0,0.0,,,71.0,,,10.4,994.9
1936-05-30,15.2,5.6,20.2,0.1,,,67.0,,,11.3,988.9
1936-05-31,12.9,11.0,16.0,2.9,,,78.0,,,11.9,990.4
1936-06-01,8.6,8.0,15.5,7.9,,,91.0,,,10.3,999.9
1936-06-02,11.5,5.5,17.2,0.0,,,68.0,,,8.9,1003.4
1936-06-03,14.6,5.7,20.6,0.0,,,63.0,,,10.1,998.9
1936-06-04,16.7,10.8,21.0,0.0,,,59.0,,,11.1,989.9
1936-06-05,11.9,10.0,16.0,6.5,,,89.0,,,12.8,986.9
1936-06-06,10.7,8.0,12.1,2.8,,,91.0,,,11.6,990.1
1936-06-07,13.7,10.0,19.2,0.4,,,69.0,,,10.8,995.0
1936-06-08,12.2,9.5,14.5,0.0,,,71.0,,,10.1,999.2
1936-06-09,11.5,6.5,16.4,0.0,,,74.0,,,10.0,998.6
1936-06-10,12.6,7.2,17.5,3.0,,,79.0,,,11.3,998.0
1936-06-11,14.5,11.0,17.0,0.0,,,84.0,,,13.9,995.9
1936-06-12,13.1,10.5,18.5,14.4,,,94.0,,,14.3,999.6
1936-06-13,16.0,8.0,23.5,0.0,,,77.0,,,13.6,1003.8
1936-06-14,19.0,9.5,26.8,0.0,,,66.0,,,13.9,1001.0
1936-06-15,17.1,12.3,20.8,4.7,,,86.0,,,16.9,1001.5
1936-06-16,17.3,10.5,24.2,0.0,,,71.0,,,13.7,1005.6
1936-06-17,20.2,9.6,29.1,0.0,,,65.0,,,15.1,1006.8
1936-06-18,21.0,12.0,30.5,0.0,,,59.0,,,14.0,1007.3
1936-06-19,20.5,11.4,28.7,0.0,,,68.0,,,15.7,1004.6
1936-06-20,20.8,12.6,28.6,0.0,,,66.0,,,15.6,1001.1
1936-06-21,22.8,13.0,28.8,0.0,,,56.0,,,14.7,1001.7
1936-06-22,21.3,13.5,28.5,0.0,,,66.0,,,16.5,1001.4
1936-06-23,21.8,14.5,29.0,0.0,,,65.0,,,16.9,1002.4
1936-06-24,20.1,17.2,25.5,0.0,,,69.0,,,16.7,1001.7
1936-06-25,19.4,14.0,25.7,0.0,,,62.0,,,14.4,1001.5
