,T,Tmin,Tmax,Prec,Rad,Rs,RH,u2,u2mx,vap,aP
1934-05-08,9.8,8.6,17.2,3.2,,,89.0,,,11.1,1010.3
1934-05-09,12.4,8.4,15.6,0.0,,,79.0,,,11.2,1011.5
1934-05-10,17.3,9.7,25.2,0.0,,,73.0,,,14.4,1011.0
1934-05-11,18.4,9.4,26.1,0.0,,,59.0,,,12.3,1009.3
1934-05-12,18.7,9.2,25.6,0.0,,,50.0,,,10.4,1003.4
1934-05-13,18.5,7.4,28.4,1.2,,,63.0,,,11.7,993.3
1934-05-14,13.9,11.0,19.3,0.0,,,56.0,,,8.7,989.2
1934-05-15,8.1,5.1,14.8,0.0,,,63.0,,,7.1,992.8
1934-05-16,16.1,-0.8,21.7,0.0,,,40.0,,,6.9,986.6
1934-05-17,14.5,11.2,20.1,0.3,,,64.0,,,10.8,987.8
1934-05-18,11.7,6.7,15.6,0.0,,,60.0,,,8.0,997.7
1934-05-19,14.1,9.7,17.6,0.0,,,60.0,,,9.6,999.9
1934-05-20,17.5,9.0,24.5,1.6,,,54.0,,,10.5,1002.1
1934-05-21,18.1,12.2,22.0,0.0,,,51.0,,,10.3,1004.9
1934-05-22,19.1,15.9,23.7,1.2,,,55.0,,,12.0,1003.2
1934-05-23,14.1,11.1,19.8,0.8,,,55.0,,,9.5,1001.4
1934-05-24,10.2,5.6,15.0,0.0,,,58.0,,,7.2,1001.7
1934-05-25,10.9,5.9,15.3,1.1,,,54.0,,,6.7,1000.0
1934-05-26,8.1,5.8,14.3,0.0,,,80.0,,,8.9,998.5
1934-05-27,8.6,3.1,13.6,1.3,,,61.0,,,6.7,1001.9
1934-05-28,11.2,6.5,15.0,4.4,,,76.0,,,10.1,999.3
1934-05-29,9.7,7.9,13.4,0.0,,,66.0,,,8.1,1001.4
1934-05-30,12.3,-0.5,18.6,0.0,,,54.0,,,7.5,1003.9
1934-05-31,17.1,1.8,22.8,0.0,,,45.0,,,8.1,1002.8
1934-06-01,20.6,5.2,26.5,0.0,,,36.0,,,8.4,1002.5
1934-06-02,23.1,9.1,28.4,0.0,,,42.0,,,11.2,1000.6
1934-06-03,19.4,14.2,26.2,0.0,,,45.0,,,9.9,994.0
1934-06-04,15.3,10.7,21.2,0.0,,,64.0,,,10.7,990.8
1934-06-05,11.7,8.0,16.2,0.0,,,61.0,,,8.4,990.0
1934-06-06,15.1,4.9,20.9,0.0,,,45.0,,,7.2,992.2
1934-06-07,14.7,5.1,19.8,1.2,,,62.0,,,10.5,998.7
1934-06-08,15.3,10.6,21.5,0.0,,,59.0,,,10.3,1002.1
1934-06-09,14.3,7.0,20.9,6.6,,,73.0,,,11.7,1002.6
1934-06-10,18.2,7.8,25.1,0.0,,,64.0,,,12.5,997.9
1934-06-11,16.9,9.4,24.0,0.0,,,38.0,,,7.5,991.6
1934-06-12,15.2,7.8,22.1,0.0,,,54.0,,,9.3,995.6
1934-06-13,18.4,3.6,25.1,0.0,,,36.0,,,7.5,997.0
1934-06-14,19.7,8.1,27.0,0.9,,,38.0,,,8.5,995.7
1934-06-15,14.4,11.6,21.4,0.2,,,63.0,,,10.4,1002.2
1934-06-16,16.4,2.9,22.4,0.0,,,44.0,,,7.9,1006.3
1934-06-17,20.1,9.4,26.5,0.0,,,36.0,,,8.1,1004.2
1934-06-18,24.0,11.1,32.1,0.0,,,31.0,,,8.4,999.2
1934-06-19,24.2,14.7,30.6,0.2,,,40.0,,,11.5,991.6
1934-06-20,16.1,14.4,23.5,4.7,,,73.0,,,13.6,985.4
1934-06-21,14.0,11.0,17.9,0.2,,,63.0,,,10.1,994.2
1934-06-22,19.2,9.2,22.4,0.0,,,52.0,,,11.5,991.6
1934-06-23,18.4,11.5,24.6,0.0,,,45.0,,,9.3,998.4
1934-06-24,22.3,7.2,28.7,0.0,,,43.0,,,10.8,998.3
1934-06-25,22.6,18.2,30.2,4.2,,,57.0,,,15.1,995.6
1934-06-26,17.9,15.6,23.3,34.5,,,86.0,,,17.9,997.6
1934-06-27,18.3,14.2,21.7,0.0,,,76.0,,,15.7,998.1
1934-06-28,20.2,13.3,26.4,0.0,,,69.0,,,15.3,993.9
1934-06-29,22.0,14.4,29.2,0.0,,,56.0,,,14.0,992.7
1934-06-30,23.0,12.7,30.8,0.0,,,46.0,,,12.3,994.7
1934-07-01,19.0,12.8,23.9,0.0,,,61.0,,,12.9,997.5
1934-07-02,17.3,10.4,23.6,0.0,,,66.0,,,12.9,1001.6
1934-07-03,15.7,13.5,18.7,0.0,,,57.0,,,10.3,1000.1
1934-07-04,14.6,10.7,19.3,0.0,,,65.0,,,10.5,999.0
1934-07-05,16.3,10.1,22.5,0.0,,,59.0,,,10.7,999.3
1934-07-06,18.8,7.8,23.6,0.0,,,54.0,,,11.2,999.9
1934-07-07,20.7,10.6,27.8,0.0,,,38.0,,,8.9,1001.4
1934-07-08,21.7,11.2,28.3,0.0,,,41.0,,,10.4,1002.1
1934-07-09,19.7,14.2,26.0,0.0,,,43.0,,,9.6,1000.0
1934-07-10,21.0,12.8,27.7,0.0,,,53.0,,,12.4,997.8
1934-07-11,20.6,11.5,27.3,0.0,,,46.0,,,10.8,993.6
1934-07-12,19.2,14.3,22.6,0.0,,,49.0,,,10.5,988.1
1934-07-13,17.5,12.9,22.6,4.1,,,73.0,,,14.9,988.5
1934-07-14,21.1,14.0,27.1,0.1,,,53.0,,,12.8,994.0
1934-07-15,20.7,12.5,28.0,15.6,,,64.0,,,15.1,996.6
1934-07-16,19.1,16.4,23.2,0.0,,,72.0,,,15.6,1001.3
1934-07-17,21.4,13.5,26.9,0.0,,,56.0,,,13.2,1002.3
1934-07-18,22.1,12.4,29.5,0.0,,,48.0,,,12.1,996.8
1934-07-19,22.8,13.0,32.0,0.4,,,56.0,,,14.5,991.2
1934-07-20,22.6,16.5,28.0,0.0,,,55.0,,,14.1,993.5
1934-07-21,22.6,13.5,32.0,23.6,,,60.0,,,15.5,991.1
1934-07-22,21.4,15.2,28.0,0.9,,,71.0,,,17.6,988.5
1934-07-23,20.2,16.7,24.0,2.4,,,73.0,,,17.1,988.2
1934-07-24,18.6,16.1,23.6,0.0,,,77.0,,,16.3,994.4
1934-07-25,18.8,10.1,23.3,0.0,,,64.0,,,13.5,996.0
1934-07-26,20.4,15.0,23.5,11.8,,,58.0,,,13.1,996.2
1934-07-27,15.7,13.0,21.8,0.0,,,72.0,,,13.2,992.1
1934-07-28,17.5,11.6,20.2,1.3,,,61.0,,,11.6,992.8
1934-07-29,17.4,14.0,20.9,4.7,,,70.0,,,13.5,993.4
1934-07-30,17.6,14.4,22.2,2.6,,,84.0,,,16.7,995.4
1934-07-31,21.7,11.2,28.7,0.0,,,63.0,,,15.3,993.7
1934-08-01,19.5,14.1,23.6,1.6,,,77.0,,,17.5,994.9
1934-08-02,21.4,15.9,26.6,0.0,,,64.0,,,15.3,991.0
1934-08-03,20.0,16.7,24.4,12.5,,,75.0,,,17.9,989.0
1934-08-04,16.5,15.4,18.4,38.8,,,85.0,,,16.3,986.2
1934-08-05,16.0,12.7,19.9,5.8,,,75.0,,,13.3,993.2
1934-08-06,15.7,13.2,19.5,1.1,,,75.0,,,13.5,995.3
1934-08-07,18.1,14.0,23.5,0.0,,,73.0,,,14.8,993.5
1934-08-08,20.2,11.3,25.6,0.0,,,58.0,,,12.8,995.5
1934-08-09,19.7,11.1,27.4,0.3,,,61.0,,,13.5,993.4
1934-08-10,19.5,16.1,23.8,0.0,,,63.0,,,13.9,995.3
1934-08-11,19.5,14.5,25.2,0.0,,,55.0,,,12.4,994.5
1934-08-12,17.1,15.1,21.4,0.0,,,60.0,,,11.7,994.9
1934-08-13,16.9,12.1,20.0,0.1,,,63.0,,,12.3,991.6
1934-08-14,14.8,11.0,18.3,0.0,,,78.0,,,13.3,991.9
1934-08-15,14.9,12.9,19.7,4.1,,,85.0,,,14.5,997.7
1934-08-16,16.4,9.5,22.6,0.0,,,68.0,,,12.7,1001.2
1934-08-17,18.2,11.9,23.8,0.0,,,67.0,,,13.9,1001.4
1934-08-18,17.1,11.6,22.5,0.0,,,67.0,,,12.9,1000.4
1934-08-19,17.6,8.7,21.0,0.0,,,63.0,,,12.4,998.1
1934-08-20,18.7,14.0,24.5,0.0,,,54.0,,,11.3,995.7
1934-08-21,20.1,17.0,26.4,0.0,,,53.0,,,12.4,997.0
1934-08-22,22.9,10.2,30.2,0.0,,,52.0,,,13.1,994.9
1934-08-23,22.0,15.7,31.2,20.2,,,65.0,,,16.4,993.0
1934-08-24,15.7,14.0,20.7,1.8,,,74.0,,,13.6,998.5
1934-08-25,15.9,7.8,21.9,0.0,,,68.0,,,11.7,1000.9
1934-08-26,15.5,7.0,21.2,0.0,,,70.0,,,12.1,1002.0
1934-08-27,17.5,13.7,21.1,3.1,,,77.0,,,15.2,999.1
1934-08-28,16.7,14.9,18.7,0.1,,,92.0,,,17.5,992.7
1934-08-29,19.0,14.6,24.9,14.2,,,75.0,,,16.3,989.7
1934-08-30,13.5,10.8,18.9,11.1,,,82.0,,,13.2,994.1
1934-08-31,13.0,6.7,17.4,6.0,,,81.0,,,12.4,993.8
1934-09-01,11.2,10.3,13.0,27.7,,,88.0,,,12.0,983.7
1934-09-02,12.1,5.5,16.8,0.0,,,72.0,,,10.4,993.5
1934-09-03,15.4,9.2,20.2,0.0,,,66.0,,,11.2,1000.6
1934-09-04,16.9,12.8,21.1,0.0,,,72.0,,,13.7,1003.3
1934-09-05,17.1,11.6,22.3,0.3,,,82.0,,,16.1,1002.6
1934-09-06,15.5,12.8,16.4,4.4,,,92.0,,,16.3,1003.6
1934-09-07,14.6,11.6,20.6,0.0,,,76.0,,,13.1,1003.8
1934-09-08,14.4,5.8,22.2,0.0,,,77.0,,,12.3,1000.8
1934-09-09,18.3,8.0,25.4,0.0,,,68.0,,,13.5,996.9
1934-09-10,17.5,10.4,24.0,0.0,,,73.0,,,14.5,999.2
1934-09-11,17.8,9.3,25.3,0.0,,,76.0,,,15.1,1004.7
1934-09-12,19.2,10.6,25.9,0.0,,,66.0,,,13.7,1006.7
1934-09-13,19.4,10.5,25.8,0.0,,,65.0,,,14.1,1007.3
1934-09-14,17.5,7.8,24.2,0.0,,,64.0,,,12.0,1006.2
1934-09-15,17.2,9.6,24.1,0.0,,,67.0,,,12.5,1003.0
1934-09-16,17.9,11.7,24.8,0.0,,,56.0,,,11.6,1001.2
1934-09-17,17.5,10.0,23.9,0.8,,,75.0,,,15.3,1003.6
1934-09-18,19.2,10.0,26.9,0.0,,,70.0,,,14.8,1003.0
1934-09-19,20.7,15.0,25.3,0.0,,,48.0,,,11.7,995.9
1934-09-20,16.9,13.4,21.6,0.0,,,65.0,,,12.5,994.1
1934-09-21,15.2,13.5,18.6,0.0,,,70.0,,,12.3,996.5
1934-09-22,12.8,9.4,18.6,0.0,,,73.0,,,11.3,999.3
1934-09-23,15.5,8.3,20.4,0.6,,,67.0,,,12.1,992.6
1934-09-24,13.1,5.9,18.2,0.0,,,65.0,,,9.5,995.4
1934-09-25,12.2,7.8,18.1,0.0,,,71.0,,,10.9,997.4
1934-09-26,12.6,3.0,20.0,0.0,,,65.0,,,8.9,1004.0
1934-09-27,18.2,8.0,27.0,0.0,,,70.0,,,14.3,1005.1
1934-09-28,16.6,10.2,23.7,0.0,,,79.0,,,14.9,1008.1
1934-09-29,17.1,8.0,26.0,0.0,,,69.0,,,12.8,1005.8
1934-09-30,17.4,7.5,26.2,0.0,,,72.0,,,13.7,1003.9
1934-10-01,15.4,11.2,19.9,9.1,,,88.0,,,15.6,1000.1
1934-10-02,17.0,9.5,23.4,0.0,,,78.0,,,14.8,994.6
1934-10-03,16.4,11.0,20.1,0.0,,,81.0,,,14.9,989.0
1934-10-04,15.8,12.8,22.3,11.9,,,73.0,,,13.3,985.7
1934-10-05,13.7,12.0,16.4,0.5,,,73.0,,,11.6,991.1
1934-10-06,12.3,7.6,13.0,1.4,,,85.0,,,12.1,1004.7
1934-10-07,8.6,3.2,16.1,0.0,,,81.0,,,9.3,1016.4
1934-10-08,9.9,1.9,18.1,0.0,,,76.0,,,8.9,1011.4
1934-10-09,9.9,2.0,18.1,0.4,,,77.0,,,9.2,1000.4
1934-10-10,8.2,6.5,11.0,0.0,,,82.0,,,9.2,1006.7
1934-10-11,11.7,5.6,14.8,2.7,,,77.0,,,10.8,1004.8
1934-10-12,14.0,10.3,15.7,4.7,,,78.0,,,12.3,1002.0
1934-10-13,11.7,10.2,14.8,0.3,,,75.0,,,10.7,1001.5
1934-10-14,10.5,6.9,13.6,27.0,,,84.0,,,10.9,989.3
1934-10-15,6.4,4.8,10.5,12.8,,,76.0,,,7.6,974.1
1934-10-16,5.8,3.7,8.4,1.3,,,83.0,,,8.1,985.2
1934-10-17,5.7,2.6,7.8,1.5,,,78.0,,,7.5,987.2
1934-10-18,4.2,1.3,5.3,0.8,,,87.0,,,7.3,996.1
1934-10-19,9.2,2.1,10.1,1.7,,,79.0,,,9.2,996.2
1934-10-20,8.0,4.6,13.4,0.0,,,84.0,,,9.5,1001.4
1934-10-21,11.8,4.9,13.7,0.0,,,78.0,,,10.9,1002.6
1934-10-22,6.2,2.4,12.0,0.0,,,80.0,,,8.3,1000.1
1934-10-23,8.6,0.7,12.1,0.0,,,79.0,,,8.7,997.9
1934-10-24,10.0,6.5,15.8,0.0,,,82.0,,,10.7,1002.6
1934-10-25,10.2,3.0,13.4,0.0,,,78.0,,,9.9,1002.3
1934-10-26,10.4,7.2,14.9,0.1,,,77.0,,,10.0,1002.2
1934-10-27,11.7,8.9,16.2,0.2,,,76.0,,,10.8,1000.3
1934-10-28,12.1,9.0,14.0,0.0,,,65.0,,,9.2,995.3
1934-10-29,9.6,8.4,12.4,0.2,,,76.0,,,9.5,993.1
1934-10-30,7.7,4.5,11.7,0.0,,,71.0,,,7.6,992.3
1934-10-31,9.7,6.5,13.3,1.6,,,75.0,,,9.2,984.6
1934-11-01,2.5,-1.0,9.2,0.4,,,89.0,,,7.2,993.2
1934-11-02,3.9,-1.2,6.0,0.6,,,69.0,,,5.9,998.2
1934-11-03,0.7,-2.4,6.3,0.0,,,77.0,,,5.5,1005.5
1934-11-04,4.4,-4.3,7.1,0.0,,,64.0,,,5.5,1000.9
1934-11-05,6.5,3.7,7.3,0.0,,,80.0,,,7.9,989.5
1934-11-06,12.0,6.5,16.3,2.0,,,70.0,,,9.9,982.2
1934-11-07,9.5,8.1,13.3,0.0,,,72.0,,,9.1,982.7
1934-11-08,4.7,0.4,8.7,42.2,,,94.0,,,8.1,987.2
1934-11-09,3.7,0.5,7.9,0.4,,,83.0,,,7.2,991.4
1934-11-10,5.4,0.5,6.1,0.0,,,78.0,,,7.2,988.6
1934-11-11,7.9,5.2,11.1,0.0,,,75.0,,,8.4,983.4
1934-11-12,4.8,3.3,7.3,15.6,,,90.0,,,8.3,982.5
1934-11-13,3.0,-2.5,8.3,0.0,,,86.0,,,7.2,984.2
1934-11-14,5.2,-0.1,7.2,0.0,,,83.0,,,7.2,990.7
1934-11-15,8.4,-0.5,12.8,0.0,,,81.0,,,8.8,990.4
1934-11-16,5.6,4.6,10.1,1.6,,,97.0,,,8.9,996.6
1934-11-17,6.1,4.5,6.5,34.4,,,94.0,,,9.1,989.0
1934-11-18,5.8,4.6,6.8,0.7,,,90.0,,,8.8,1000.2
1934-11-19,4.0,2.4,5.3,1.5,,,89.0,,,7.6,1003.4
1934-11-20,0.8,-1.4,4.0,0.0,,,87.0,,,5.9,1010.6
1934-11-21,-1.2,-2.3,0.1,0.0,,,94.0,,,5.3,1013.4
1934-11-22,3.3,-2.5,4.2,0.9,,,88.0,,,6.9,1011.4
1934-11-23,5.9,3.4,6.8,2.2,,,81.0,,,7.9,1006.3
1934-11-24,3.5,1.5,5.9,1.1,,,91.0,,,7.5,1012.8
1934-11-25,4.8,2.4,5.6,1.3,,,85.0,,,7.6,1015.6
1934-11-26,5.4,4.0,6.0,10.5,,,81.0,,,7.5,1009.9
1934-11-27,7.7,4.3,8.5,0.7,,,88.0,,,9.5,1011.3
1934-11-28,7.9,7.0,8.3,0.0,,,81.0,,,8.9,1012.3
1934-11-29,7.0,6.1,8.2,0.0,,,81.0,,,8.4,1012.4
1934-11-30,5.6,4.0,7.5,0.0,,,90.0,,,8.5,1014.8
1934-12-01,2.2,-0.7,7.5,0.0,,,82.0,,,6.4,1012.9
1934-12-02,1.3,-3.8,4.2,6.5,,,84.0,,,5.9,998.8
1934-12-03,10.4,1.4,11.6,3.6,,,81.0,,,10.4,988.4
1934-12-04,10.9,9.0,11.7,0.0,,,84.0,,,11.2,992.6
1934-12-05,11.1,6.3,13.0,0.9,,,81.0,,,10.8,990.3
1934-12-06,7.3,4.3,11.8,2.9,,,82.0,,,9.1,995.5
1934-12-07,8.0,1.4,10.2,0.0,,,88.0,,,9.1,998.0
1934-12-08,7.1,3.3,11.1,0.0,,,89.0,,,9.5,1001.9
1934-12-09,8.2,1.9,9.7,0.0,,,79.0,,,8.9,997.0
1934-12-10,6.6,5.6,7.8,0.0,,,77.0,,,7.7,989.3
1934-12-11,5.4,0.5,7.5,0.0,,,84.0,,,7.6,988.5
1934-12-12,7.3,4.6,7.9,0.0,,,80.0,,,8.4,983.5
1934-12-13,7.0,3.7,8.3,0.0,,,78.0,,,8.0,984.1
1934-12-14,9.4,5.8,10.5,0.0,,,80.0,,,9.7,979.1
1934-12-15,9.6,8.0,11.1,0.0,,,77.0,,,9.5,975.1
